cd_type,cd_loc,cd_dong,cd_cnt,lon,lat
고정형,상당로 남궁요양병원사거리부근1,문화동,13,127.4908643,36.6321644
고정형,사직대로 대현지하상가나도약국부근,북문로1가,15,127.4876984,36.6367965
고정형,사직대로 지하상가성안길입구부근,북문로2가,17,127.4888493,36.6369728
고정형,상당로 도청사거리부근,북문로1가,20,127.4905973,36.634411
고정형,무심동로 육거리주차장부근,석교동,20,127.4876755,36.6270444
고정형,청소년광장사거리부근,북문로2가,272,127.488643,36.639136
고정형,홈플러스후문사거리부근,서문동,374,127.4882556,36.6354474
고정형,상당로81번길 산업은행청주점부근,북문로1가,133,127.4887469,36.6355044
고정형,사직대로350번길 청주상호저축은행부근,서문동,129,127.4863973,36.6343536
고정형,교서로 청주공고부근,영동,52,127.486449,36.637435
고정형,무심동로 서문대교삼거리부근,서문동,54,127.4841073,36.6357428
고정형,사직대로350번길 중앙공원서문부근,서문동,44,127.4863456,36.6325879
고정형,상당로69번길 청주시청별관부근,북문로1가,133,127.4882983,36.6344056
