gbn,clt_nm,addr,lon,lat
국보,청주 용두사지 철당간,충청북도 청주시 상당구 남문로2가 48-19,127.489757770553,36.6330946216514
보물,청주 용화사 석조불상군,충청북도 청주시 서원구 사직동 216-1,127.48200291978,36.6417787909194
충북도 유형문화재,청주 충청도병마절도사영문,충청북도 청주시 상당구 남문로2가 92-6,127.488153758872,36.6326685727869
충북도 유형문화재,청주 탑동 오층석탑,충청북도 청주시 상당구 탑동 251,127.497986539037,36.6295997265035
충북도 유형문화재,청주향교,충청북도 청주시 상당구 대성동 68,127.498059505359,36.6372025103301
충북도 유형문화재,청주 청녕각,충청북도 청주시 상당구 북문로1가 171-3,127.488320562771,36.6347040792329
충북도 유형문화재,청주 망선루,충청북도 청주시 상당구 남문로2가 92-6,127.488153758872,36.6326685727869
충북도 유형문화재,청주 탑동 양관,충청북도 청주시 상당구 탑동 185-1,127.496568847021,36.6272262125421
충북도 유형문화재,청주 조헌 전장기적비,충청북도 청주시 상당구 남문로2가 92-6,127.488153758872,36.6326685727869
충북도 유형문화재,청주 성공회 성당,충청북도 청주시 상당구 수동 202-1,127.493947838848,36.6386356609526
충북도 유형문화재,청주 모충동 석조비로자나불좌상,충청북도 청주시 서원구 모충동 산36-48,127.475535150015,36.6240337070117
충북도 기념물,청주 압각수,충청북도 청주시 상당구 남문로2가 92-6,127.488153758872,36.6326685727869
충북도 기념물,청주 표충사,충청북도 청주시 상당구 수동 산6-11,127.493604702016,36.6468421144463
충북도 기념물,청주 척화비,충청북도 청주시 상당구 남문로2가 92-6,127.488153758872,36.6326685727869
충북도 기념물,청주 현풍곽씨 효자비 및 묘소,충청북도 청주시 상당구 탑동 251,127.497986539037,36.6295997265035
국가등록문화재,청주 문화동 일양 절충식 가옥,충청북도 청주시 상당구 문화동 3,127.493458620014,36.6360901100423
국가등록문화재,충북도청 본관,충청북도 청주시 상당구 문화동 89,127.49144569579,36.6354282616305
국가등록문화재,주성교육박물관(구 청주공립보통학교 강당),충청북도 청주시 상당구 영동 48-1,127.485226161971,36.6411003132609
국가등록문화재,대성여자중학교(구 청주대학교) 강당,충청북도 청주시 상당구 수동 396-1,127.492447186401,36.6437363963641
국가등록문화재,구 충북산업장려관,충청북도 청주시 상당구 문화동 89-4,127.491058369582,36.634722022547
국가등록문화재,충청북도지사 구 관사,충청북도 청주시 상당구 수동 36-3,127.495524088219,36.6374261998184
국가등록문화재,청주 동부배수지 제수변실,충청북도 청주시 상당구 대성동 150,127.495999622299,36.6332024363513
청주시 향토유형유적,청주 영규대사 전장기적비,충청북도 청주시 상당구 남문로2가 92-6,127.488153758872,36.6326685727869
청주시 향토유형유적,한봉수 의병장 송공비,충청북도 청주시 상당구 남문로2가 92-6,127.488153758872,36.6326685727869
청주시 향토유형유적,청주 남석교,충청북도 청주시 상당구 석교동 131,127.489600257786,36.627177825191
청주시 향토유형유적,모충사,충청북도 청주시 서원구 모충동 산13-6,127.472579177208,36.627699010508
청주시 향토유형유적,연최적 충효정려,충청북도 청주시 서원구 모충동 411-10,127.476978564909,36.6285548545597
청주시 향토유형유적,로간부인 기념비,충청북도 청주시 상당구 남문로1가 154-5,127.49025527451,36.62899270955
청주시 향토유형유적,선교사 묘역 및 묘비,충청북도 청주시 상당구 탑동 185-1,127.496568847021,36.6272262125421
청주시 향토기념유적,청주읍성,충청북도 청주시 상당구 서문동 119,127.486985272932,36.6326718228165
청주시 향토기념유적,청주 당산토성,충청북도 청주시 상당구 대성동 109-4,127.495104526825,36.6349572317808
청주시 향토기념유적,청주 우암산성,충청북도 청주시 상당구 수동 산1,127.505889351236,36.6499805617773
청주시 향토기념유적,청주 우암산 고분군,충청북도 청주시 상당구 수동 산2-1,127.50284919527,36.6470258472099
